class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
open,-0.14662047585499505,-0.045270931668906736,-0.05633990590269349,-0.2687477828618975,-0.16750517472612578,-0.10386913963569865,-0.37230776660569254,-0.26033561394048194,-0.15506679933261636,-0.4737593532944085,-0.3145535552265737,-0.20977636166173327,-0.14539331849438533,-0.46688247479381717,-0.06899923299656634,-0.21172182764539973,-0.6809491942252287,-0.129631371860368,-0.2542317555305512,-0.8074550230823029,-0.17540723141201955,-0.28557557025473884,-0.9200928586773912,-0.21126389988154406,-0.042632828132026956,-0.4900905659299658,-0.09828240286668836,-0.06539039199242318,-0.7236312787225178,-0.15653800232868692,-0.09132434963547884,-0.8712446634258011,-0.20129415885290108,-0.1092128335454138,-1.0,-0.23899703852120519,0.051376474742795934,-0.45539274570863947,-0.13646056835427745,0.08076038350653016,-0.678500334606351,-0.20832002983620093,0.08492776080723963,-0.8262261104622927,-0.25642649161350217,0.08867172589971885,-0.9550730606669954,-0.28951786441728194,0.13902199962552328,-0.37234346543719354,-0.180461042787737,0.2189434204807325,-0.5214078271412841,-0.24633014006617038,0.27101044700231697,-0.6237055964697145,-0.28049424270103296,0.31493846083003874,-0.7186607178240816,-0.3044522900760297
open,-0.1355309105506041,-0.08528477908531451,-0.03489199067311146,-0.2615954932740163,-0.2154045701074769,-0.06838830105907456,-0.37249213013126004,-0.3120891143794499,-0.10883252232688552,-0.4679774814609132,-0.36607611211884333,-0.1509339810066792,-0.15188235489410765,-0.4996115619916276,-0.024297293063197386,-0.21421956254697022,-0.7016487488191424,-0.06754188460342804,-0.24735721809571812,-0.8254411804652202,-0.10119758954144999,-0.2700059156060327,-0.9365045710129268,-0.12729986161707316,-0.0558114792938698,-0.5255763943173964,-0.05451195590006248,-0.08262562362862066,-0.7492696037449408,-0.09033130411949525,-0.10168255228218648,-0.8830068180377694,-0.12153997410413278,-0.1124918886779526,-1.0,-0.14921607845119775,0.03701962109939727,-0.49619424314951693,-0.09364748609379857,0.06359849936769416,-0.7057554168540445,-0.14174008985081205,0.07512744207384246,-0.8342776169765821,-0.17737001512101339,0.08314248461489707,-0.9472028388872624,-0.2025909260337974,0.12549233838473772,-0.42071986285452134,-0.13829308922906977,0.1998816878793458,-0.5567778961569688,-0.18194291440178434,0.24966241809451087,-0.6505129373700302,-0.20511415082380852,0.29037084209859143,-0.7386954579614701,-0.22215007756687502
open,-0.1372822521368768,-0.09512731177263398,-0.029131723712270147,-0.2633811466334829,-0.22861252756730155,-0.05994593419427604,-0.3710763214658345,-0.3249440265317187,-0.0992715419445439,-0.46279882304947595,-0.38043095300677243,-0.1403816700551278,-0.1512873708771099,-0.5044114484088088,-0.022502704962348557,-0.21282402679169132,-0.7128355895280001,-0.06598183369429728,-0.24425562504449386,-0.8337490124440737,-0.0981693033232211,-0.26542964029612093,-0.9447939044277118,-0.12314440754277343,-0.05638080912250016,-0.5261477300534864,-0.05650652081647731,-0.08020775440929456,-0.7512054341535419,-0.09380998169460138,-0.09269316684605282,-0.8834214695980899,-0.12248211970198067,-0.09681471553930492,-1.0,-0.1480227683125403,0.0353750203481487,-0.4957783920722857,-0.09877836856894588,0.05935084531159761,-0.7064918794071596,-0.1481843537737824,0.07255972228876884,-0.8319506668675912,-0.17976244169320177,0.0831901846425399,-0.9430968272607303,-0.20179300631295172,0.12373064960964052,-0.4201349711407705,-0.1462821419508014,0.19820585630677737,-0.5558127235745753,-0.19123080566879397,0.25157143632310425,-0.6469934391673863,-0.21201646790600054,0.2965778381492004,-0.7341711807941892,-0.2266507166402588
open,-0.13606610738886188,-0.0943399059699781,-0.028677214688990454,-0.26150825720469095,-0.22770973372721828,-0.05992067108027742,-0.36920032920821966,-0.32356129152037044,-0.09991449179011976,-0.45893800923069267,-0.38097175276984485,-0.14194072750405443,-0.15171472220857093,-0.5024179451849505,-0.024372600882206434,-0.2127989706327581,-0.7104411669236141,-0.06890597251875838,-0.24421034014744597,-0.8332612849070833,-0.10174623770702167,-0.26478721900355356,-0.945728271559771,-0.12711992066178981,-0.056927509272253256,-0.5231786612886687,-0.05946172734509285,-0.08219011440986727,-0.7484671886916431,-0.09828503130997084,-0.09579005118926924,-0.8822053735081425,-0.12753789633460078,-0.0999441359254992,-1.0,-0.1532836335705016,0.03503009652365585,-0.49144823100636637,-0.1026711404188941,0.05726954969581913,-0.7030047075683308,-0.15354136785529884,0.06829508244463496,-0.8287044115478914,-0.1852583459380159,0.07800660357954783,-0.9391950719483169,-0.20719034193121333,0.12434921310984064,-0.4141307137435634,-0.15102294355589774,0.19804868592771374,-0.5495922210755146,-0.19708283885360792,0.25038648292649485,-0.6407306741851854,-0.21789776191802315,0.2953134546416478,-0.7273505533622497,-0.23243066893702635
open,-0.13475128728483737,-0.09588540691595016,-0.030786113229315543,-0.25794516920014066,-0.23276803911093252,-0.061458847029617826,-0.36436173046394005,-0.33426255283461415,-0.09984502544128414,-0.45598977478032826,-0.39270246863408537,-0.14009176898735623,-0.14802634082340568,-0.5028170343210001,-0.02543529576729482,-0.20841837860709922,-0.7114718654252721,-0.06762110485035837,-0.23894906111539826,-0.8374129189668845,-0.099021770068021,-0.25890581930371703,-0.9516770851883477,-0.12385466656925463,-0.05283324429264402,-0.5237400742462364,-0.05826938290236117,-0.07778899030902446,-0.7497073833757227,-0.09478773308493264,-0.09248861877343026,-0.8830148416369484,-0.12388224444941652,-0.09816880592630475,-1.0,-0.14996207209099502,0.03905004999977169,-0.4923038403173197,-0.09907850496877488,0.06277155507661304,-0.7018958817539646,-0.14794507216862024,0.07540970132556472,-0.8269518556231858,-0.1810654783920317,0.08607510163576118,-0.9386450290181323,-0.20440646770258278,0.12755664738212763,-0.41516614079387765,-0.14505333308980325,0.2016369788265807,-0.5507124016176487,-0.1898909137401199,0.25448848787600664,-0.6414791104454622,-0.21178202382637523,0.29941354910099344,-0.7285694281456858,-0.2274092736258434
open,-0.1343373088251235,-0.09751380110925784,-0.029328316876600424,-0.25704255276773985,-0.2319671865714154,-0.059651152837887536,-0.3634492533771308,-0.33028265383271066,-0.09801932740620331,-0.45189440568381756,-0.388220174955694,-0.1380351041747909,-0.14816281926206273,-0.5110329057121716,-0.018405938623660995,-0.2061578845986903,-0.7131097121101759,-0.058709308183243276,-0.23689265199159992,-0.8366378307062917,-0.08977666041662011,-0.25728093936481833,-0.9491439899135712,-0.11455279860239777,-0.05395138707400368,-0.5318082672411054,-0.05204919258702821,-0.08000318051505796,-0.753596741401169,-0.08680673855664517,-0.0973692184218716,-0.8850070489761311,-0.11618935945916649,-0.10585854826515219,-1.0,-0.14237745933098808,0.037773937442674335,-0.4979386704869335,-0.094150666790725,0.06236789346065123,-0.7065985501290678,-0.14212211163395008,0.0731626406241472,-0.8309368486842595,-0.17654714877923408,0.08081305640959682,-0.9410548090011008,-0.20059724736455864,0.12550066126435203,-0.4176014750778823,-0.14141449644404125,0.20131626497460833,-0.5508148853577874,-0.1856901413611236,0.25491463312105067,-0.6429926579056552,-0.20820129330810205,0.2993261473761283,-0.7307184695337215,-0.22428727652586805
open,-0.1354649465320174,-0.09838410516101348,-0.02842626835980929,-0.25902881736526945,-0.23380188929957674,-0.05806936837593136,-0.36557270231523925,-0.3326099226628177,-0.0959839183857448,-0.4556947790087577,-0.38877553321695374,-0.13558831923896505,-0.15518316989798903,-0.510214658224268,-0.017212514068717207,-0.21446972707679104,-0.7119760631424448,-0.05688640373721206,-0.24569862209619847,-0.835534219630771,-0.08725343744514229,-0.26672748761434784,-0.9484285703836627,-0.1116457759105161,-0.061906927187969335,-0.5318354536854629,-0.0513542987950199,-0.08919604805047884,-0.753123537127699,-0.08583530846491057,-0.10777132624002808,-0.8844872602108487,-0.11513512635254734,-0.1179735652879908,-1.0,-0.14123198724192496,0.0297801181025571,-0.49928745928338764,-0.09389943011980924,0.053476973170922,-0.7078827635852074,-0.14197066156266458,0.06384721395970275,-0.8323053861739063,-0.17682569891771832,0.07051699735707738,-0.9431134676900271,-0.20108920747674033,0.1183184831477111,-0.4206512158906942,-0.14145985626974877,0.19361206333261816,-0.5539894356238663,-0.18575754384959722,0.24722160930581832,-0.6475273191402212,-0.20859259951188827,0.2911509025922097,-0.7374771273820437,-0.2249298735590708
open,-0.13435979823325256,-0.09490847713814751,-0.03030837719522249,-0.2563544320438257,-0.2321755656463274,-0.06142906791119634,-0.36082462614657207,-0.3351205201583904,-0.10047239030888841,-0.4515543171223844,-0.39539687783378635,-0.14142976013235098,-0.1510533411079149,-0.5046992346336933,-0.02592568088793786,-0.21001484504815576,-0.7117967600115354,-0.06889764523683183,-0.24151617301725412,-0.8359055132203632,-0.10054137133311804,-0.2628830283959957,-0.9481305129850582,-0.12554936977593867,-0.05669401194176964,-0.5271479531778448,-0.06007456913331674,-0.08256692036922371,-0.7518225340146945,-0.09849478641168137,-0.09897423972939766,-0.8836059348715751,-0.12838558635471442,-0.10637300185512955,-1.0,-0.1547210910007161,0.03547165700578727,-0.4955132342501075,-0.10228505887023644,0.0587599130929745,-0.7068477934327211,-0.15302876554035527,0.06878545101959604,-0.8323677597216087,-0.18683301627585713,0.07615088469296703,-0.9445305772349081,-0.2105028715701975,0.12476567860663616,-0.4175382339839428,-0.14956005092772678,0.19866843574914722,-0.5547868066852555,-0.19540398327467165,0.2511571993546007,-0.648527939349623,-0.21752784584479834,0.29478229191434774,-0.7386878835182934,-0.233381523292345
open,-0.13340002774069545,-0.09361593821228575,-0.03225000570251007,-0.2538526311650278,-0.23001706068131209,-0.06374369920637957,-0.3577783235803131,-0.33302244093236383,-0.10261935679987269,-0.44727079019970073,-0.3943149392246829,-0.14337227782905557,-0.14821042561691944,-0.5031314268440535,-0.025649107889340123,-0.20651672866850346,-0.706925466158118,-0.06744355302243786,-0.23766464509804555,-0.8321892216492319,-0.09855488794586909,-0.25783317519908094,-0.9454459101751366,-0.12343808825135466,-0.05481076037922114,-0.5253029396074614,-0.058743557891651844,-0.0813782363952702,-0.7479821562507728,-0.09626497494505237,-0.09859374949599027,-0.8818548971159661,-0.126022554137749,-0.10628495715475698,-1.0,-0.15224759154391102,0.03681786267311246,-0.49311851037073456,-0.1001707431357523,0.05998917713509273,-0.70265891340341,-0.1505155165107059,0.06862043493908337,-0.8279242817256556,-0.1845181728435795,0.07488973995171644,-0.9388389858456404,-0.20811356589129426,0.12490639819326048,-0.4142281811980448,-0.1468798015326811,0.1983691666010014,-0.5501750996998445,-0.19272830891891007,0.24974229262562916,-0.6446623507305588,-0.2153192153776229,0.2924445312813206,-0.7347931912720952,-0.2314232574242841
open,-0.13440250302692805,-0.09287760266378865,-0.03043797644705861,-0.2566465576558709,-0.22862346547891835,-0.06162081516371776,-0.3623978205811487,-0.3292526710465346,-0.1004428630639057,-0.45077139722753473,-0.39075092800502026,-0.14128413714961555,-0.1518640343313957,-0.5001266872278581,-0.025435794866937023,-0.21126087743589342,-0.7046714554898642,-0.06880627254293072,-0.24324177671134672,-0.8299497190425236,-0.10172573410765058,-0.264172300148024,-0.9446719398596646,-0.12754058474777746,-0.05749116983124158,-0.521540890697816,-0.05859502714693465,-0.08540297957936775,-0.7446934299375179,-0.09708920574235727,-0.1039437665055524,-0.880324944692173,-0.128520580964788,-0.11222740978190943,-1.0,-0.15579232514518448,0.034630907912870455,-0.48915402515136175,-0.09980894791967003,0.05615210192734729,-0.7001068066066202,-0.15053412500205013,0.06411017512267508,-0.8273686104763976,-0.18567820049261635,0.07057819805543919,-0.9397932936548629,-0.210079766202668,0.12392478718001895,-0.41098241078513736,-0.14600351421019903,0.1960902160212669,-0.5481114865998942,-0.1921553628397314,0.24478332958559865,-0.6432670835006019,-0.2152645923683246,0.2856958700270281,-0.7330440296747013,-0.23175433760053932
